"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","245","A_fresh_user_has_no_passkeys","AuthManager.Tests","2026-07-28","passed","2026-07-28","PasskeyServiceTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.PasskeyServiceTests","A_fresh_user_has_no_passkeys"
"","2236","CreateOidcProviderAsync_rejects_a_duplicate_name","AuthManager.Tests","2026-07-28","passed","2026-07-28","SsoServiceTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.SsoServiceTests","CreateOidcProviderAsync_rejects_a_duplicate_name"
"","94","HashPassword_then_VerifyHashedPassword_succeeds_for_the_correct_password","AuthManager.Tests","2026-07-28","passed","2026-07-28","SelfContainedPasswordHasherTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.SelfContainedPasswordHasherTests","HashPassword_then_VerifyHashedPassword_succeeds_for_the_correct_password"
"","191","GetAuditLogAsync_returns_entries_most_recent_first","AuthManager.Tests","2026-07-28","passed","2026-07-28","AuditServiceTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.AuditServiceTests","GetAuditLogAsync_returns_entries_most_recent_first"
"","329","Assigning_a_user_moves_them_out_of_root_and_updates_counts","AuthManager.Tests","2026-07-28","passed","2026-07-28","TenantServiceTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.TenantServiceTests","Assigning_a_user_moves_them_out_of_root_and_updates_counts"
"","21","Listing_passkeys_requires_authentication","AuthManager.Tests","2026-07-28","passed","2026-07-28","PasskeysApiTests","AuthManager.Tests.ApiTests","AuthManager.Tests.ApiTests.PasskeysApiTests","Listing_passkeys_requires_authentication"
"","102","SubscribeAsync_with_SkipTrial_starts_Active","AuthManager.Tests","2026-07-28","passed","2026-07-28","SubscriptionServiceTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.SubscriptionServiceTests","SubscribeAsync_with_SkipTrial_starts_Active"
"","3","VerifyHashedPassword_fails_gracefully_for_malformed_hashes","AuthManager.Tests","2026-07-28","passed","2026-07-28","SelfContainedPasswordHasherTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.SelfContainedPasswordHasherTests","VerifyHashedPassword_fails_gracefully_for_malformed_hashes"
"","482","DeleteGroupAsync_removes_the_group_and_its_memberships","AuthManager.Tests","2026-07-28","passed","2026-07-28","GroupServiceTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.GroupServiceTests","DeleteGroupAsync_removes_the_group_and_its_memberships"
"","110","GetSettingsAsync_defaults_to_empty_branding","AuthManager.Tests","2026-07-28","passed","2026-07-28","BrandingSettingsServiceTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.BrandingSettingsServiceTests","GetSettingsAsync_defaults_to_empty_branding"
"","321","RoleManager_and_role_assignment_work_against_the_self_contained_store","AuthManager.Tests","2026-07-28","passed","2026-07-28","SelfContainedStorageProviderTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.SelfContainedStorageProviderTests","RoleManager_and_role_assignment_work_against_the_self_contained_store"
